id,title,year,concepts,referenced_works,primary_topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,"['Computer science', 'Object detection', 'Artificial intelligence', 'Computer vision', 'Object (grammar)', 'Cognitive neuroscience of visual object recognition', 'Pattern recognition (psychology)']","['W2179352600', 'W1536680647', 'W6637373629', 'W2088049833', 'W2102605133', 'W7746136', 'W1903029394', 'W2168356304', 'W6629368666', 'W639708223', 'W2031489346', 'W1861492603', 'W6689579922', 'W6685275435', 'W6688789216', 'W6691503852', 'W6691918414', 'W6687483927', 'W2104446196', 'W1958328135', 'W6638313749', 'W2046382188', 'W1991367009', 'W2066624635', 'W6679349572', 'W2068730032', 'W6635419406', 'W6622964371', 'W1923115158', 'W6677374587', 'W6623517193', 'W1849277567', 'W4246193833', 'W2147800946', 'W2117539524', 'W6684191040', 'W2155893237', 'W2963690996', 'W1832500336', 'W4309299128', 'W1686810756', 'W1594098193', 'W2117287331', 'W2206858481', 'W2255499165', 'W2130306094', 'W1665214252', 'W2097117768', 'W2952009708', 'W854541894', 'W2174407577', 'W2963542991', 'W2618530766', 'W1790312427', 'W809122546', 'W2216125271', 'W2962835968', 'W2963758027', 'W2229637417', 'W2194775991']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2152207030,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,2013,"['Biology', 'Phylogenetic tree', 'Mega-', 'Phylogenetics', 'Divergence (linguistics)', 'Inference', 'Wizard', 'Graphical user interface', 'Human evolutionary genetics', 'Software', 'Computer science', 'Multiple sequence alignment', 'Sequence (biology)', 'Evolutionary biology', 'Sequence alignment', 'Artificial intelligence', 'Programming language', 'Genetics', 'Gene', 'Astronomy', 'Peptide sequence', 'Physics', 'World Wide Web', 'Linguistics', 'Philosophy']","['W2108764069', 'W2096230176', 'W2121552166', 'W6674423240', 'W1487781539', 'W2016518608', 'W1992566665', 'W2132632499', 'W1969102846', 'W2021496725', 'W2140803428', 'W2045391589', 'W2146396346', 'W2160502554', 'W2156434383', 'W3217097258', 'W3012079654', 'W2097403532', 'W2164789250', 'W4236079519']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2097117768,Going deeper with convolutions,2015,"['Computer science', 'Architecture', 'Convolutional neural network', 'Intuition', 'Artificial intelligence', 'Deep learning', 'Network architecture', 'Context (archaeology)', 'Artificial neural network', 'Scale (ratio)', 'Pattern recognition (psychology)', 'Machine learning', 'Computer network', 'Visual arts', 'Biology', 'Philosophy', 'Paleontology', 'Epistemology', 'Quantum mechanics', 'Physics', 'Art']","['W2147800946', 'W2112796928', 'W6638444622', 'W2086161653', 'W6629368666', 'W2144982973', 'W2122283107', 'W6604254268', 'W6679349572', 'W6676698716', 'W6684859321', 'W2069277577', 'W2102605133', 'W2068730032', 'W6637616945', 'W6640036494', 'W6680949076', 'W6684191040', 'W2129305389', 'W6639204139', 'W2163605009', 'W1709548961', 'W1904365287', 'W388277973', 'W2963911037', 'W2143915663', 'W2113325037', 'W2963542991', 'W1849277567', 'W2168231600', 'W104184427', 'W2130306094']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1849190772,"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach",2013,"['Statistical inference', 'Econometrics', 'Structural equation modeling', 'Simple linear regression', 'Mediation', 'Regression analysis', 'Causal inference', 'Moderation', 'Linear regression', 'Statistics', 'Statistical model', 'Inference', 'Mathematics', 'Computer science', 'Artificial intelligence', 'Political science', 'Law']",[],Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2160378127,MAFFT Multiple Sequence Alignment Software Version 7: Improvements in Performance and Usability,2013,"['Multiple sequence alignment', 'Usability', 'Software', 'Sequence (biology)', 'Biology', 'Sequence alignment', 'Computer science', 'Human–computer interaction', 'Genetics', 'Programming language', 'Peptide sequence', 'Gene']","['W2051151530', 'W1527979595', 'W2082658158', 'W2141380436', 'W2100945839', 'W2142056356', 'W2155066423', 'W2090748603', 'W1969153299', 'W2157552136', 'W2036780345', 'W2068083406', 'W2161299051', 'W2143210482', 'W2094031081', 'W2017519756', 'W2062355909', 'W118013854', 'W2113799994', 'W2102502076', 'W2127774996', 'W2127520112', 'W1981584745', 'W2119362018', 'W2141747524', 'W2162758337', 'W2126319852', 'W2154099008', 'W2125230147', 'W2118711492', 'W2130625618', 'W1775447850', 'W2127122014', 'W2130060890', 'W4320301318', 'W2132902214', 'W2127322768', 'W2155744824', 'W2160488448', 'W2112422063', 'W2143270724', 'W1988512789', 'W2106882534', 'W2120772351', 'W255996521', 'W2103130355', 'W2033900229', 'W2431006159', 'W2141885858']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2963446712,Densely Connected Convolutional Networks,2017,"['Computer science', 'Benchmark (surveying)', 'Feature (linguistics)', 'Layer (electronics)', 'Convolutional neural network', 'Computation', 'Code (set theory)', 'Reuse', 'Object (grammar)', 'Convolutional code', 'Pattern recognition (psychology)', 'Artificial intelligence', 'Computer engineering', 'Algorithm', 'Set (abstract data type)', 'Programming language', 'Decoding methods', 'Engineering', 'Philosophy', 'Geography', 'Waste management', 'Geodesy', 'Organic chemistry', 'Linguistics', 'Chemistry']","['W2102013737', 'W6626481562', 'W6674330103', 'W2162741153', 'W2183341477', 'W2097117768', 'W6604254268', 'W1677182931', 'W6610775743', 'W2194775991', 'W2302255633', 'W2331143823', 'W6638667902', 'W6787972765', 'W6684191040', 'W2147800946', 'W2112796928', 'W2117539524', 'W6637551013', 'W6676553272', 'W6682889407', 'W6677681515', 'W6640174519', 'W6696761078', 'W6676297131', 'W6640759395', 'W6684665197', 'W6638444622', 'W6717888560', 'W6703116779', 'W1903029394', 'W6623329352', 'W6685251022', 'W2123045220', 'W4293439130', 'W2294059674', 'W2109779438', 'W2464772092', 'W830076066', 'W4239072543', 'W3118608800', 'W2163605009', 'W2963382180', 'W2964118293', 'W2173905264', 'W1948751323', 'W2964091842', 'W3020975476', 'W2335728318', 'W2095705004', 'W2406474429', 'W2963975324', 'W2401231614', 'W1836465849', 'W104184427', 'W2333796428', 'W2174554700', 'W2952229419', 'W2950621961', 'W2168894214', 'W2962694510', 'W300523764', 'W2963920537', 'W2963911037', 'W2408279554', 'W2430148947', 'W2116456623', 'W2156387975', 'W2108598243', 'W1690739335', 'W2964137095', 'W2962820688', 'W2337199865', 'W1026270304', 'W2963606038']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2153635508,LIBSVM,2011,"['Computer science', 'Support vector machine', 'Popularity', 'Machine learning', 'Artificial intelligence', 'Selection (genetic algorithm)', 'Convergence (economics)', 'Multiclass classification', 'Data mining', 'Psychology', 'Economic growth', 'Social psychology', 'Economics']","['W2087347434', 'W2036350498', 'W2115076892', 'W2141057577', 'W15020643', 'W2119821739', 'W2151746537', 'W3000101108', 'W2137557016', 'W3023975262', 'W2104978738', 'W2097850441', 'W2172000360', 'W1543810117', 'W2137285073', 'W2151040995', 'W2056983531', 'W2139526185', 'W1568793342', 'W2137346077', 'W2011741120', 'W2132870739', 'W2161920802', 'W3007705807', 'W1510526001', 'W1512098439', 'W2157239837', 'W3163638146', 'W2110899801', 'W2124351082', 'W62563893', 'W2153104898', 'W1775273161', 'W91932901', 'W324611197', 'W2115694019', 'W2145276325', 'W34176136', 'W2039402388', 'W2148603752', 'W2100967622', 'W2047542122', 'W1556115774', 'W2096613134', 'W2140586694', 'W2138907228', 'W2109911225', 'W1621799579', 'W1618905105', 'W1576520375', 'W1932600547', 'W2282078507', 'W1564719599', 'W2109943925', 'W2567465089']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2132632499,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods",2011,"['Phylogenetic tree', 'Biology', 'Maximum parsimony', 'Mega-', 'Phylogenetics', 'Tree (set theory)', 'Evolutionary biology', 'Molecular evolution', 'Software', 'Inference', 'Computational biology', 'Genetics', 'Computer science', 'Gene', 'Clade', 'Artificial intelligence', 'Mathematics', 'Physics', 'Astronomy', 'Programming language', 'Mathematical analysis']","['W2099364951', 'W2124023322', 'W1519266993', 'W2102424972', 'W1989119850', 'W1996835973', 'W2181358262', 'W2111211467', 'W2103546861', 'W2009596137', 'W1968371014', 'W2017519756', 'W2104898129', 'W2110899053', 'W2097403532', 'W2031053199', 'W2101846955', 'W2082928585', 'W2125359798', 'W2116210362', 'W2142150428', 'W2032227091', 'W2100806401', 'W2413917413', 'W2168175751', 'W2168696662', 'W2117752525', 'W2133104753', 'W2121677860', 'W2124790653', 'W2111762123', 'W2062405202', 'W1487781539', 'W4205911826', 'W2235442146', 'W2097706568', 'W2144775551', 'W1594175410', 'W3184352463', 'W1507241016', 'W2187450834', 'W2129798238', 'W2164789250', 'W3217097258', 'W2030966943', 'W420957490']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1969360633,Crystal structure refinement with<i>SHELXL</i>,2014,"['Computer science', 'Crystal structure', 'File format', 'Data structure', 'Crystallography', 'Core (optical fiber)', 'Reflection (computer programming)', 'Operating system', 'Programming language', 'Chemistry', 'Telecommunications']","['W2032842297', 'W2124241917', 'W2093135499', 'W2004435637', 'W2130676953', 'W2035901463', 'W2128179591', 'W2102940758', 'W2119679171', 'W2070942956', 'W2067081534', 'W2156779445', 'W2146426024', 'W2036260386', 'W1989555577', 'W2166032823', 'W1983732912', 'W2131350133', 'W2145538332', 'W2024175762', 'W1983271674', 'W2054612704', 'W2018977936', 'W2161791938', 'W2101547779']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1861492603,Microsoft COCO: Common Objects in Context,2014,"['Computer science', 'Pascal (unit)', 'Spotting', 'Artificial intelligence', 'Segmentation', 'Minimum bounding box', 'Bounding overwatch', 'Object detection', 'Object (grammar)', 'Context (archaeology)', 'Computer vision', 'Image segmentation', 'Baseline (sea)', 'Pattern recognition (psychology)', 'Image (mathematics)', 'Geography', 'Archaeology', 'Programming language', 'Geology', 'Oceanography']","['W2108598243', 'W2031489346', 'W2017814585', 'W2031454541', 'W2102605133', 'W2098411764', 'W2070148066', 'W2535410496', 'W125693051', 'W1832500336', 'W2171943915', 'W2110764733', 'W2055302526', 'W2143890915', 'W1861492603', 'W2147253850', 'W2145607950', 'W2135166986', 'W4235505822', 'W2163965432', 'W1972515067', 'W2054279472', 'W2110158442', 'W2134270519', 'W1516887802', 'W4244390938', 'W2031342017', 'W2020308406', 'W2168356304', 'W2046875449', 'W2055349880', 'W2083542343', 'W2161446043', 'W2038721957', 'W2161969291', 'W2109586012', 'W3118608800', 'W2148675068', 'W4285719527', 'W191001584', 'W1576445103', 'W2119775030', 'W2104974755', 'W2056933870', 'W2155904486', 'W2160014001', 'W2963542991', 'W2163605009', 'W3092654410']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2146512944,limma powers differential expression analyses for RNA-sequencing and microarray studies,2015,"['Biology', 'Bioconductor', 'Computational biology', 'DNA microarray', 'Microarray analysis techniques', 'Gene chip analysis', 'Expression (computer science)', 'Data mining', 'Gene expression', 'Genetics', 'Gene', 'Computer science', 'Programming language']","['W2160697532', 'W1546952499', 'W2024425375', 'W1987167495', 'W1591275079', 'W2124681904', 'W1978326072', 'W2064397275', 'W2027455260', 'W2137526110', 'W1779730050', 'W2071650644', 'W2135891958', 'W6668696247', 'W1983607152', 'W2081098333', 'W1570746489', 'W6688171001', 'W6618923836', 'W2114104545', 'W2070494252', 'W2106840507', 'W2164216268', 'W2118373398', 'W2015795623', 'W6680991062', 'W2120865735', 'W2138207763', 'W2134526812', 'W1999574084', 'W2110905563', 'W2056696298', 'W2125037436', 'W2100668965', 'W1593470657', 'W2044158404', 'W2013444425', 'W2140774750', 'W2107706017', 'W2107018762', 'W2170219300', 'W6608339261', 'W2142415307', 'W2126398084', 'W2110065044', 'W2140932047', 'W1911245058', 'W1978103519', 'W2065311047', 'W2046417042', 'W2103017472', 'W2107060225', 'W2084533385', 'W2095900642', 'W2112220625', 'W1988541647', 'W2911935186', 'W2160779973', 'W2137162822', 'W2117963341', 'W2123106337', 'W2130410032', 'W2010457001', 'W2101163066', 'W2153583721', 'W1789015559', 'W2052565759', 'W2152147743', 'W1524671351', 'W2143303281', 'W1992451590', 'W1991091089', 'W2058320302', 'W2024748060', 'W6631153645', 'W2158378675', 'W2068703118', 'W2158226173', 'W1963480915', 'W2072857774', 'W1533335653', 'W1520411860', 'W2927772609', 'W2023784669', 'W612420418', 'W2582743722', 'W2138937646', 'W1649167417', 'W2611736676', 'W2002134496', 'W4285719527', 'W206290877', 'W641275596', 'W2141407136', 'W2134736660']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2117539524,ImageNet Large Scale Visual Recognition Challenge,2015,"['Benchmark (surveying)', 'Artificial intelligence', 'Computer science', 'Categorical variable', 'Cognitive neuroscience of visual object recognition', 'Scale (ratio)', 'Object (grammar)', 'Object detection', 'Field (mathematics)', 'Pattern recognition (psychology)', 'Machine learning', '3D single-object recognition', 'Annotation', 'Computer vision', 'Geography', 'Cartography', 'Mathematics', 'Pure mathematics']","['W2163808566', 'W2066624635', 'W1979931042', 'W1991367009', 'W2110158442', 'W1503233963', 'W2055302526', 'W2963173190', 'W2048335335', 'W6683584131', 'W2122146326', 'W2108598243', 'W2143890915', 'W2155541015', 'W1574719918', 'W2031489346', 'W2037227137', 'W2107034620', 'W2155904486', 'W2168356304', 'W6678470764', 'W2115579991', 'W2102605133', 'W2536208356', 'W2143246460', 'W6634343353', 'W2136949195', 'W2135957164', 'W2179352600', 'W1904365287', 'W1832500336', 'W1709548961', 'W1563795667', 'W2137680370', 'W2052650456', 'W2163605009', 'W2106471914', 'W2162915993', 'W6638444622', 'W2128154306', 'W1861492603', 'W2158305599', 'W2151103935', 'W2106255337', 'W2121660792', 'W1499991161', 'W1614298861', 'W2081580037', 'W1566135517', 'W2135166986', 'W2156547346', 'W2127242687', 'W4295115674', 'W2001531180', 'W2147238549', 'W2127279985', 'W1606858007', 'W1972515067', 'W2110764733', 'W2032982774', 'W2018006179', 'W2141125852', 'W1487583988', 'W2125943921', 'W1686810756', 'W2165146474', 'W2149489787', 'W6736502011', 'W6674914833', 'W6623178044', 'W2091845343', 'W2031342017', 'W2145607950', 'W2088049833', 'W1970183457', 'W2129305389', 'W2162762921', 'W2109370419', 'W2119424690', 'W1506491340', 'W6600213771', 'W2261806027', 'W2027922120', 'W2110226160', 'W6682171051', 'W2017814585', 'W2097018403', 'W1849277567', 'W2141200610', 'W2134670479', 'W1551774182', 'W2952186574', 'W70846133', 'W2407718913', 'W825525975', 'W2155893237', 'W2123024445', 'W4919037', 'W1994213117', 'W2950179405', 'W2950577311', 'W2605991684', 'W2053229256', 'W2953360861', 'W1576445103', 'W1782590233', 'W2963911037', 'W2160218441', 'W2149273804', 'W4240153047', 'W128019999', 'W3098722327']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1990513740,Diffusion of Innovations 1,2019,"['Glossary', 'Innovation diffusion', 'Diffusion', 'Index (typography)', 'Diffusion of innovations', 'Subject (documents)', 'Early adopter', 'Knowledge management', 'Sociology', 'Computer science', 'Social science', 'Business', 'Library science', 'Marketing', 'Philosophy', 'Linguistics', 'Thermodynamics', 'World Wide Web', 'Physics']","['W1972922514', 'W2004325245', 'W2318267034', 'W2084200558', 'W1970198987']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
